source_file,method_id,eval_type,train_dataset,test_dataset,model,n_subjects,mean_acc,mean_precision_macro,mean_f1_macro,mean_bac,mean_kappa
loso_results_20260608_session_coral_mmd_session_ea_feature_coral_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_coral_mmd_session_ea_feature_coral,base,lee2019,cho2017,session_ea_feature_coral,52,65.6635,,,65.6635,0.3133
loso_results_20260608_session_mmd_sourceselect_session_ea_feature_coral_mmd_resample_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_mmd_sourceselect_session_ea_feature_coral_mmd_resample,base,cho2017,lee2019,session_ea_feature_coral_mmd_resample,54,70.287,,,70.287,0.4057
loso_results_20260608_session_mmd_sourceselect_session_ea_feature_coral_mmd_resample_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_mmd_sourceselect_session_ea_feature_coral_mmd_resample,base,lee2019,cho2017,session_ea_feature_coral_mmd_resample,52,65.6571,,,65.6571,0.3131
loso_results_20260608_session_mmd_sourceselect_session_ea_mmd_resample_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_mmd_sourceselect_session_ea_mmd_resample,base,cho2017,lee2019,session_ea_mmd_resample,54,70.6759,,,70.6759,0.4135
loso_results_20260608_session_mmd_sourceselect_session_ea_mmd_resample_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_mmd_sourceselect_session_ea_mmd_resample,base,lee2019,cho2017,session_ea_mmd_resample,52,65.1602,,,65.1602,0.3032
loso_results_20260608_session_mmd_sourceselect_source_select_k10_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_mmd_sourceselect_source_select_k10,base,cho2017,lee2019,source_select_k10,54,68.287,,,68.287,0.3657
loso_results_20260608_session_mmd_sourceselect_source_select_k10_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_mmd_sourceselect_source_select_k10,base,lee2019,cho2017,source_select_k10,52,64.391,,,64.391,0.2878
loso_results_20260608_session_mmd_sourceselect_source_select_k20_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_mmd_sourceselect_source_select_k20,base,cho2017,lee2019,source_select_k20,54,69.4074,,,69.4074,0.3881
loso_results_20260608_session_mmd_sourceselect_source_select_k20_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_mmd_sourceselect_source_select_k20,base,lee2019,cho2017,source_select_k20,52,64.561,,,64.561,0.2912
loso_results_20260608_session_mmd_sourceselect_source_select_k30_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_mmd_sourceselect_source_select_k30,base,cho2017,lee2019,source_select_k30,54,69.5741,,,69.5741,0.3915
loso_results_20260608_session_mmd_sourceselect_source_select_k30_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_mmd_sourceselect_source_select_k30,base,lee2019,cho2017,source_select_k30,52,65.1377,,,65.1377,0.3028
loso_results_20260608_session_mmd_sourceselect_source_select_k40_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_mmd_sourceselect_source_select_k40,base,cho2017,lee2019,source_select_k40,54,69.0,,,69.0,0.38
loso_results_20260608_session_mmd_sourceselect_source_select_k40_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_mmd_sourceselect_source_select_k40,base,lee2019,cho2017,source_select_k40,52,64.8252,,,64.8252,0.2965
loso_results_20260612_sfreq100_datasetea_ea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv,20260612_sfreq100_datasetea_ea_sourceweight_tau5,base,cho2017,lee2019,cspnet,54,71.9259,,,71.9259,0.4385
loso_results_20260612_sfreq100_datasetea_ea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv,20260612_sfreq100_datasetea_ea_sourceweight_tau5,base,lee2019,cho2017,cspnet,52,69.1231,,,69.1231,0.3825
loso_results_20260612_sfreq100_ea_adabn_cross_cho2017_to_lee2019_cspnet.csv,20260612_sfreq100_ea_adabn,adabn,cho2017,lee2019,cspnet,54,66.9259,,,66.9259,0.3385
loso_results_20260612_sfreq100_ea_adabn_cross_cho2017_to_lee2019_cspnet.csv,20260612_sfreq100_ea_adabn,base,cho2017,lee2019,cspnet,54,59.2407,,,59.2407,0.1848
loso_results_20260612_sfreq100_ea_adabn_cross_lee2019_to_cho2017_cspnet.csv,20260612_sfreq100_ea_adabn,adabn,lee2019,cho2017,cspnet,52,64.2365,,,64.2365,0.2847
loso_results_20260612_sfreq100_ea_adabn_cross_lee2019_to_cho2017_cspnet.csv,20260612_sfreq100_ea_adabn,base,lee2019,cho2017,cspnet,52,60.7827,,,60.7827,0.2157
loso_results_20260612_sfreq100_ea_adabn_con_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260612_sfreq100_ea_adabn_con,adabn,cho2017,lee2019,cspnetcontrastive,54,66.9259,,,66.9259,0.3385
loso_results_20260612_sfreq100_ea_adabn_con_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260612_sfreq100_ea_adabn_con,base,cho2017,lee2019,cspnetcontrastive,54,59.2407,,,59.2407,0.1848
loso_results_20260612_sfreq100_ea_adabn_con_cross_lee2019_to_cho2017_cspnetcontrastive.csv,20260612_sfreq100_ea_adabn_con,adabn,lee2019,cho2017,cspnetcontrastive,52,64.2365,,,64.2365,0.2847
loso_results_20260612_sfreq100_ea_adabn_con_cross_lee2019_to_cho2017_cspnetcontrastive.csv,20260612_sfreq100_ea_adabn_con,base,lee2019,cho2017,cspnetcontrastive,52,60.7827,,,60.7827,0.2157
