dataset,subject,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
lee2019,38,60.0,59.833333333333336,62.166666666666664,61.5,60.166666666666664,True,False,-2.3333333333333286,False,-2.0,False,-2.1666666666666643,False,-0.6666666666666643,False,True,0,61.5,Snapshot,-0.6666666666666643
lee2019,39,86.0,84.5,82.33333333333333,83.0,84.0,False,True,2.1666666666666714,True,1.6666666666666714,True,3.6666666666666714,True,0.6666666666666714,True,False,4,86.0,AdaBN,3.6666666666666714
lee2019,40,62.333333333333336,64.66666666666667,62.833333333333336,62.0,60.0,True,False,1.8333333333333357,False,-2.8333333333333357,False,-0.5,False,-0.8333333333333357,False,True,0,64.66666666666667,EA,1.8333333333333357
lee2019,41,58.166666666666664,58.166666666666664,54.833333333333336,57.666666666666664,55.833333333333336,True,False,3.3333333333333286,False,1.0,False,3.3333333333333286,False,2.8333333333333286,False,True,0,58.166666666666664,EA,3.3333333333333286
lee2019,42,70.66666666666667,70.16666666666667,67.83333333333333,68.33333333333333,72.0,True,True,2.333333333333343,True,4.166666666666671,True,2.833333333333343,False,0.5,True,False,3,72.0,TENT,4.166666666666671
lee2019,43,71.83333333333333,73.0,71.66666666666667,74.33333333333333,67.83333333333333,False,True,1.3333333333333286,False,-3.833333333333343,True,0.1666666666666572,True,2.666666666666657,True,False,3,74.33333333333333,Snapshot,2.666666666666657
lee2019,44,91.83333333333333,86.83333333333333,87.33333333333333,86.5,85.83333333333333,False,True,-0.5,True,-1.5,True,4.5,True,-0.8333333333333286,True,False,4,91.83333333333333,AdaBN,4.5
lee2019,45,78.5,80.0,79.16666666666667,77.5,79.16666666666667,False,True,0.8333333333333286,True,0.0,True,-0.6666666666666714,True,-1.6666666666666714,True,False,4,80.0,EA,0.8333333333333286
lee2019,46,75.83333333333333,74.0,73.83333333333333,73.5,76.16666666666667,False,True,0.1666666666666714,True,2.333333333333343,True,2.0,True,-0.3333333333333286,True,False,4,76.16666666666667,TENT,2.333333333333343
lee2019,47,75.0,74.33333333333333,63.5,75.66666666666667,75.33333333333333,True,True,10.833333333333329,True,11.833333333333329,True,11.5,True,12.166666666666671,True,False,4,75.66666666666667,Snapshot,12.166666666666671
lee2019,48,56.5,57.333333333333336,52.0,57.5,56.333333333333336,True,False,5.333333333333336,False,4.333333333333336,False,4.5,False,5.5,False,True,0,57.5,Snapshot,5.5
lee2019,49,74.66666666666667,67.66666666666667,66.33333333333333,68.83333333333333,72.0,True,False,1.3333333333333428,True,5.666666666666671,True,8.333333333333343,False,2.5,True,False,2,74.66666666666667,AdaBN,8.333333333333343
lee2019,50,55.166666666666664,53.333333333333336,52.5,54.666666666666664,57.0,True,False,0.8333333333333357,False,4.5,False,2.6666666666666643,False,2.1666666666666643,False,True,0,57.0,TENT,4.5
lee2019,51,64.5,64.33333333333333,60.0,64.5,64.33333333333333,True,False,4.333333333333329,False,4.333333333333329,False,4.5,False,4.5,False,True,0,64.5,AdaBN,4.5
lee2019,52,69.5,63.833333333333336,65.16666666666667,72.16666666666667,65.83333333333333,True,False,-1.3333333333333357,False,0.6666666666666572,False,4.333333333333329,True,7.0,True,False,1,72.16666666666667,Snapshot,7.0
lee2019,53,63.666666666666664,64.33333333333333,64.66666666666667,63.0,62.833333333333336,True,False,-0.3333333333333428,False,-1.8333333333333357,False,-1.000000000000007,False,-1.6666666666666714,False,True,0,64.33333333333333,EA,-0.3333333333333428
lee2019,54,64.33333333333333,63.0,57.333333333333336,61.166666666666664,62.333333333333336,True,False,5.666666666666664,False,5.0,False,6.999999999999993,False,3.8333333333333286,False,True,0,64.33333333333333,AdaBN,6.999999999999993
