group,baseline,candidate,dataset,feature,n,rho,p
EA_to_TTA,ea_cspnet,ea_tent_cspnet,lee2019,source_pool_knn5_dist,54,0.05488094736537548,0.6934690445204106
EA_to_TTA,ea_cspnet,ea_tent_cspnet,lee2019,source_pool_knn10_dist,54,0.02868169204690117,0.8368868898418947
EA_to_TTA,ea_cspnet,ea_tent_cspnet,lee2019,source_pool_sim_weight,54,0.0583181674508896,0.6753049111786014
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,cho2017,baseline_acc,52,-0.016563374293549194,0.9072209039841987
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,cho2017,cov_condition_num,52,0.2922161517930429,0.0355446036728788
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,cho2017,source_pool_mean_dist,52,0.20961103020545122,0.13585474168738063
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,cho2017,source_pool_min_dist,52,0.19632070800486093,0.16304859605877983
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,cho2017,source_pool_knn3_dist,52,0.17401347910226245,0.21729083211022385
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,cho2017,source_pool_knn5_dist,52,0.1913635460265057,0.17414832777640554
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,cho2017,source_pool_knn10_dist,52,0.18884223088234225,0.17999932165872523
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,cho2017,source_pool_sim_weight,52,-0.22995248797870196,0.10101325592250077
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,lee2019,baseline_acc,54,0.06718555423487922,0.6293054002386871
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,lee2019,cov_condition_num,54,0.17165402906059365,0.21456306357077376
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,lee2019,source_pool_mean_dist,54,-0.14490473690956615,0.2958185392504365
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,lee2019,source_pool_min_dist,54,0.07558585696390342,0.5869771067967295
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,lee2019,source_pool_knn3_dist,54,0.10990137746622157,0.4288795105867972
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,lee2019,source_pool_knn5_dist,54,0.11945469609158854,0.3895928534069223
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,lee2019,source_pool_knn10_dist,54,0.12151821291466781,0.38139520369842683
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,lee2019,source_pool_sim_weight,54,0.14490473690956615,0.2958185392504365
EA_to_TTA,ea_eegnet,ea_tent_eegnet,cho2017,baseline_acc,52,0.09168513488636078,0.517992684450759
EA_to_TTA,ea_eegnet,ea_tent_eegnet,cho2017,cov_condition_num,52,0.0425106580181929,0.7647629535353134
EA_to_TTA,ea_eegnet,ea_tent_eegnet,cho2017,source_pool_mean_dist,52,0.02386939164932807,0.8666113587183009
EA_to_TTA,ea_eegnet,ea_tent_eegnet,cho2017,source_pool_min_dist,52,0.17848476879614258,0.20552073866392898
EA_to_TTA,ea_eegnet,ea_tent_eegnet,cho2017,source_pool_knn3_dist,52,0.17972751988740024,0.20233069670041592
EA_to_TTA,ea_eegnet,ea_tent_eegnet,cho2017,source_pool_knn5_dist,52,0.16832849263655414,0.23292376322045324
EA_to_TTA,ea_eegnet,ea_tent_eegnet,cho2017,source_pool_knn10_dist,52,0.11283322838901402,0.4257873721714196
EA_to_TTA,ea_eegnet,ea_tent_eegnet,cho2017,source_pool_sim_weight,52,-0.048253025129521385,0.7340847340270567
EA_to_TTA,ea_eegnet,ea_tent_eegnet,lee2019,baseline_acc,54,0.2490537900254993,0.06935894784267316
EA_to_TTA,ea_eegnet,ea_tent_eegnet,lee2019,cov_condition_num,54,0.008182187143503454,0.9531746457311321
EA_to_TTA,ea_eegnet,ea_tent_eegnet,lee2019,source_pool_mean_dist,54,-0.07528376862410423,0.588476890060784
EA_to_TTA,ea_eegnet,ea_tent_eegnet,lee2019,source_pool_min_dist,54,-0.12131812993615171,0.382185535004514
EA_to_TTA,ea_eegnet,ea_tent_eegnet,lee2019,source_pool_knn3_dist,54,-0.12162400609104904,0.3809777126424294
EA_to_TTA,ea_eegnet,ea_tent_eegnet,lee2019,source_pool_knn5_dist,54,-0.12192988224594636,0.37977216852401674
EA_to_TTA,ea_eegnet,ea_tent_eegnet,lee2019,source_pool_knn10_dist,54,-0.1442588415534511,0.2979995066043183
EA_to_TTA,ea_eegnet,ea_tent_eegnet,lee2019,source_pool_sim_weight,54,0.07528376862410423,0.588476890060784
NoEA_to_EA,conformer_noea,ea_conformer,cho2017,baseline_acc,52,-0.3214125524627421,0.020156578710997245
NoEA_to_EA,conformer_noea,ea_conformer,cho2017,cov_condition_num,52,0.1842099905893079,0.19111560324055837
NoEA_to_EA,conformer_noea,ea_conformer,cho2017,source_pool_mean_dist,52,-0.05270464372529699,0.7105795633708223
NoEA_to_EA,conformer_noea,ea_conformer,cho2017,source_pool_min_dist,52,0.14461744218302724,0.30635980191529083
NoEA_to_EA,conformer_noea,ea_conformer,cho2017,source_pool_knn3_dist,52,0.13795461850300592,0.32941358924178765
NoEA_to_EA,conformer_noea,ea_conformer,cho2017,source_pool_knn5_dist,52,0.13586180850094792,0.3368739593561778
NoEA_to_EA,conformer_noea,ea_conformer,cho2017,source_pool_knn10_dist,52,0.14901661422816953,0.2917213079906484
NoEA_to_EA,conformer_noea,ea_conformer,cho2017,source_pool_sim_weight,52,-0.0015375746953895392,0.9913685900269719
NoEA_to_EA,conformer_noea,ea_conformer,lee2019,baseline_acc,54,-0.21945455394622684,0.11084085925381752
NoEA_to_EA,conformer_noea,ea_conformer,lee2019,cov_condition_num,54,0.3085526859154973,0.023205440078847714
NoEA_to_EA,conformer_noea,ea_conformer,lee2019,source_pool_mean_dist,54,0.1823075053331269,0.18702790997355442
NoEA_to_EA,conformer_noea,ea_conformer,lee2019,source_pool_min_dist,54,0.3011107843999102,0.026928202936464765
NoEA_to_EA,conformer_noea,ea_conformer,lee2019,source_pool_knn3_dist,54,0.30324794586079673,0.025811149251352798
NoEA_to_EA,conformer_noea,ea_conformer,lee2019,source_pool_knn5_dist,54,0.3069879784173482,0.023949896271930157
NoEA_to_EA,conformer_noea,ea_conformer,lee2019,source_pool_knn10_dist,54,0.32015441956031004,0.018270710474181467
