"group","baseline","candidate","dataset","subject","baseline_acc","candidate_acc","delta"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","36","67.5","71.5","4"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","37","50.5","57","6.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","38","52.5","69.5","17"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","39","50.5","79.5","29"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","40","52","54","2"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","41","90.5","96.5","6"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","42","70.5","67.5","-3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","43","96.5","97","0.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","44","72.5","80","7.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","45","65","68.5","3.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","46","62.5","81.25","18.75"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","47","66","74","8"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","48","90","95.5","5.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","49","67.5","73.5","6"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","50","56.5","70.5","14"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","51","64","68","4"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","52","73.5","79.5","6"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","1","84","86.5","2.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","2","77","80","3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","3","84.5","84.5","0"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","4","61.5","60","-1.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","5","91","93","2"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","6","77.5","73","-4.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","7","60","64.5","4.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","8","72.5","78.5","6"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","9","83","83","0"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","10","57.5","67","9.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","11","56.5","54.5","-2"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","12","66","67.5","1.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","13","55","62.5","7.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","14","75","77.5","2.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","15","51.5","60","8.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","16","61.5","58","-3.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","lee2019","17","67","68","1"
