method,train_dataset,test_dataset,direction,subject,acc,bac,source_file
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,6,71.0,71.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,7,72.5,72.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,8,80.0,80.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,9,83.0,83.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,10,62.0,62.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,11,54.0,54.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,12,76.5,76.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,13,59.5,59.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,14,77.0,77.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,15,52.0,52.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,16,65.5,65.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,17,72.0,72.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,18,94.0,94.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,19,82.0,82.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,20,74.0,74.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,21,94.0,94.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,22,79.0,79.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,23,85.0,85.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,24,61.5,61.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,25,63.0,63.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,26,65.5,65.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,27,54.0,54.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,28,88.5,88.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,29,70.0,70.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,30,71.5,71.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,31,64.5,64.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,32,93.5,93.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,33,95.5,95.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,34,44.5,44.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,35,53.5,53.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,36,94.0,94.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,37,95.5,95.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
