dataset,subject,backbone,method,acc
lee2019,31,CSPNet,EA,67.5
lee2019,32,CSPNet,EA,96.0
lee2019,33,CSPNet,EA,93.5
lee2019,34,CSPNet,EA,45.0
lee2019,35,CSPNet,EA,54.0
lee2019,36,CSPNet,EA,95.0
lee2019,37,CSPNet,EA,96.0
lee2019,38,CSPNet,EA,57.5
lee2019,39,CSPNet,EA,87.0
lee2019,40,CSPNet,EA,69.0
lee2019,41,CSPNet,EA,59.5
lee2019,42,CSPNet,EA,70.5
lee2019,43,CSPNet,EA,74.5
lee2019,44,CSPNet,EA,87.0
lee2019,45,CSPNet,EA,77.0
lee2019,46,CSPNet,EA,74.5
lee2019,47,CSPNet,EA,76.5
lee2019,48,CSPNet,EA,58.5
lee2019,49,CSPNet,EA,68.0
lee2019,50,CSPNet,EA,51.0
lee2019,51,CSPNet,EA,68.5
lee2019,52,CSPNet,EA,65.5
lee2019,53,CSPNet,EA,64.0
lee2019,54,CSPNet,EA,61.5
cho2017,1,Conformer,EA,66.5
cho2017,2,Conformer,EA,59.0
cho2017,3,Conformer,EA,94.0
cho2017,4,Conformer,EA,88.0
cho2017,5,Conformer,EA,69.0
cho2017,6,Conformer,EA,66.5
cho2017,7,Conformer,EA,58.3333
cho2017,8,Conformer,EA,64.0
cho2017,9,Conformer,EA,71.6667
cho2017,10,Conformer,EA,86.0
cho2017,11,Conformer,EA,71.5
cho2017,12,Conformer,EA,73.0
cho2017,13,Conformer,EA,55.0
cho2017,14,Conformer,EA,91.5
cho2017,15,Conformer,EA,73.5
cho2017,16,Conformer,EA,62.5
cho2017,17,Conformer,EA,54.0
cho2017,18,Conformer,EA,65.0
cho2017,19,Conformer,EA,69.5
cho2017,20,Conformer,EA,65.5
cho2017,21,Conformer,EA,79.5
cho2017,22,Conformer,EA,73.5
cho2017,23,Conformer,EA,87.5
cho2017,24,Conformer,EA,75.0
cho2017,25,Conformer,EA,79.5
cho2017,26,Conformer,EA,63.5
cho2017,27,Conformer,EA,56.0
cho2017,28,Conformer,EA,48.5
cho2017,29,Conformer,EA,65.5
cho2017,30,Conformer,EA,61.5
cho2017,31,Conformer,EA,69.5
cho2017,32,Conformer,EA,54.0
cho2017,33,Conformer,EA,67.5
cho2017,34,Conformer,EA,53.5
cho2017,35,Conformer,EA,63.5
cho2017,36,Conformer,EA,73.0
cho2017,37,Conformer,EA,47.5
cho2017,38,Conformer,EA,62.0
cho2017,39,Conformer,EA,71.5
cho2017,40,Conformer,EA,55.0
cho2017,41,Conformer,EA,89.0
cho2017,42,Conformer,EA,66.5
cho2017,43,Conformer,EA,97.5
cho2017,44,Conformer,EA,74.0
cho2017,45,Conformer,EA,66.0
cho2017,46,Conformer,EA,73.3333
cho2017,47,Conformer,EA,73.0
cho2017,48,Conformer,EA,87.0
cho2017,49,Conformer,EA,63.5
cho2017,50,Conformer,EA,60.0
cho2017,51,Conformer,EA,67.5
cho2017,52,Conformer,EA,79.0
lee2019,1,Conformer,EA,82.5
lee2019,2,Conformer,EA,65.5
lee2019,3,Conformer,EA,91.5
lee2019,4,Conformer,EA,55.0
lee2019,5,Conformer,EA,74.5
lee2019,6,Conformer,EA,64.5
lee2019,7,Conformer,EA,63.0
lee2019,8,Conformer,EA,73.0
lee2019,9,Conformer,EA,84.0
lee2019,10,Conformer,EA,69.5
lee2019,11,Conformer,EA,50.0
lee2019,12,Conformer,EA,71.5
lee2019,13,Conformer,EA,63.0
lee2019,14,Conformer,EA,74.5
lee2019,15,Conformer,EA,53.5
lee2019,16,Conformer,EA,62.5
lee2019,17,Conformer,EA,70.0
lee2019,18,Conformer,EA,79.5
lee2019,19,Conformer,EA,76.0
