dataset,subject,backbone,method,acc,reference_acc,reference,delta
cho2017,27,EEGNet,TENT,51.5,49.0,Original,2.5
cho2017,28,EEGNet,TENT,49.0,54.5,Original,-5.5
cho2017,29,EEGNet,TENT,58.5,64.5,Original,-6.0
cho2017,30,EEGNet,TENT,66.5,59.5,Original,7.0
cho2017,31,EEGNet,TENT,72.5,66.5,Original,6.0
cho2017,32,EEGNet,TENT,54.0,52.5,Original,1.5
cho2017,33,EEGNet,TENT,72.5,63.0,Original,9.5
cho2017,34,EEGNet,TENT,56.5,49.0,Original,7.5
cho2017,35,EEGNet,TENT,59.5,56.0,Original,3.5
cho2017,36,EEGNet,TENT,67.5,67.5,Original,0.0
cho2017,37,EEGNet,TENT,51.5,50.0,Original,1.5
cho2017,38,EEGNet,TENT,69.0,64.0,Original,5.0
cho2017,39,EEGNet,TENT,72.5,53.0,Original,19.5
cho2017,40,EEGNet,TENT,49.5,52.5,Original,-3.0
cho2017,41,EEGNet,TENT,95.0,94.0,Original,1.0
cho2017,42,EEGNet,TENT,62.5,72.0,Original,-9.5
cho2017,43,EEGNet,TENT,96.5,97.0,Original,-0.5
cho2017,44,EEGNet,TENT,75.5,67.0,Original,8.5
cho2017,45,EEGNet,TENT,70.0,58.5,Original,11.5
cho2017,46,EEGNet,TENT,75.8333,72.9167,Original,2.9165999999999883
cho2017,47,EEGNet,TENT,70.0,66.5,Original,3.5
cho2017,48,EEGNet,TENT,96.0,92.5,Original,3.5
cho2017,49,EEGNet,TENT,62.5,63.0,Original,-0.5
cho2017,50,EEGNet,TENT,69.0,57.0,Original,12.0
cho2017,51,EEGNet,TENT,62.0,63.0,Original,-1.0
cho2017,52,EEGNet,TENT,76.5,64.0,Original,12.5
lee2019,1,EEGNet,TENT,85.5,85.5,Original,0.0
lee2019,2,EEGNet,TENT,74.5,69.5,Original,5.0
lee2019,3,EEGNet,TENT,88.5,84.5,Original,4.0
lee2019,4,EEGNet,TENT,57.0,59.5,Original,-2.5
lee2019,5,EEGNet,TENT,91.0,89.5,Original,1.5
lee2019,6,EEGNet,TENT,69.5,67.5,Original,2.0
