dataset,subject,method,acc
lee2019,4,EA+Snapshot+AdaBN,62.0
lee2019,4,EA+SupCon,57.5
lee2019,4,EA+SupCon+AdaBN,59.0
lee2019,4,EA+SupCon+CORAL,57.5
lee2019,5,Original,91.0
lee2019,5,EA,93.0
lee2019,5,EA+TENT,92.0
lee2019,5,EA+AdaBN,94.5
lee2019,5,EA+Snapshot+AdaBN,89.5
lee2019,5,EA+SupCon,93.0
lee2019,5,EA+SupCon+AdaBN,91.0
lee2019,5,EA+SupCon+CORAL,86.0
lee2019,6,Original,77.5
lee2019,6,EA,73.0
lee2019,6,EA+TENT,71.5
lee2019,6,EA+AdaBN,70.0
lee2019,6,EA+Snapshot+AdaBN,72.5
lee2019,6,EA+SupCon,68.5
lee2019,6,EA+SupCon+AdaBN,73.0
lee2019,6,EA+SupCon+CORAL,71.0
lee2019,7,Original,60.0
lee2019,7,EA,64.5
lee2019,7,EA+TENT,63.0
lee2019,7,EA+AdaBN,60.5
lee2019,7,EA+Snapshot+AdaBN,63.5
lee2019,7,EA+SupCon,66.0
lee2019,7,EA+SupCon+AdaBN,67.0
lee2019,7,EA+SupCon+CORAL,61.5
lee2019,8,Original,72.5
lee2019,8,EA,78.5
lee2019,8,EA+TENT,75.5
lee2019,8,EA+AdaBN,76.0
lee2019,8,EA+Snapshot+AdaBN,78.0
lee2019,8,EA+SupCon,78.5
lee2019,8,EA+SupCon+AdaBN,79.0
lee2019,8,EA+SupCon+CORAL,71.5
lee2019,9,Original,83.0
lee2019,9,EA,83.0
lee2019,9,EA+TENT,78.5
lee2019,9,EA+AdaBN,82.0
lee2019,9,EA+Snapshot+AdaBN,83.0
lee2019,9,EA+SupCon,84.5
lee2019,9,EA+SupCon+AdaBN,86.5
lee2019,9,EA+SupCon+CORAL,85.0
lee2019,10,Original,57.5
lee2019,10,EA,67.0
lee2019,10,EA+TENT,69.5
lee2019,10,EA+AdaBN,67.5
lee2019,10,EA+Snapshot+AdaBN,69.0
lee2019,10,EA+SupCon,68.0
lee2019,10,EA+SupCon+AdaBN,67.5
lee2019,10,EA+SupCon+CORAL,65.5
lee2019,11,Original,56.5
lee2019,11,EA,54.5
lee2019,11,EA+TENT,58.5
lee2019,11,EA+AdaBN,52.0
lee2019,11,EA+Snapshot+AdaBN,58.5
lee2019,11,EA+SupCon,56.5
lee2019,11,EA+SupCon+AdaBN,57.0
lee2019,11,EA+SupCon+CORAL,53.5
lee2019,12,Original,66.0
lee2019,12,EA,67.5
lee2019,12,EA+TENT,70.5
lee2019,12,EA+AdaBN,66.5
lee2019,12,EA+Snapshot+AdaBN,68.0
lee2019,12,EA+SupCon,68.5
lee2019,12,EA+SupCon+AdaBN,71.5
lee2019,12,EA+SupCon+CORAL,66.0
lee2019,13,Original,55.0
lee2019,13,EA,62.5
lee2019,13,EA+TENT,58.5
lee2019,13,EA+AdaBN,62.5
lee2019,13,EA+Snapshot+AdaBN,60.5
lee2019,13,EA+SupCon,62.5
lee2019,13,EA+SupCon+AdaBN,61.5
lee2019,13,EA+SupCon+CORAL,64.5
lee2019,14,Original,75.0
lee2019,14,EA,77.5
lee2019,14,EA+TENT,85.0
lee2019,14,EA+AdaBN,81.5
lee2019,14,EA+Snapshot+AdaBN,81.5
lee2019,14,EA+SupCon,76.0
lee2019,14,EA+SupCon+AdaBN,80.0
lee2019,14,EA+SupCon+CORAL,75.0
lee2019,15,Original,51.5
lee2019,15,EA,60.0
lee2019,15,EA+TENT,63.0
lee2019,15,EA+AdaBN,59.5
lee2019,15,EA+Snapshot+AdaBN,63.0
lee2019,15,EA+SupCon,56.0
lee2019,15,EA+SupCon+AdaBN,58.5
lee2019,15,EA+SupCon+CORAL,56.5
lee2019,16,Original,61.5
lee2019,16,EA,58.0
lee2019,16,EA+TENT,61.0
lee2019,16,EA+AdaBN,60.5
lee2019,16,EA+Snapshot+AdaBN,62.0
lee2019,16,EA+SupCon,60.5
lee2019,16,EA+SupCon+AdaBN,61.5
lee2019,16,EA+SupCon+CORAL,60.5
lee2019,17,Original,67.0
lee2019,17,EA,68.0
lee2019,17,EA+TENT,71.0
lee2019,17,EA+AdaBN,69.0
lee2019,17,EA+Snapshot+AdaBN,72.0
lee2019,17,EA+SupCon,73.0
lee2019,17,EA+SupCon+AdaBN,73.5
lee2019,17,EA+SupCon+CORAL,73.5
lee2019,18,Original,86.0
lee2019,18,EA,85.0
lee2019,18,EA+TENT,86.0
lee2019,18,EA+AdaBN,87.0
lee2019,18,EA+Snapshot+AdaBN,89.0
lee2019,18,EA+SupCon,90.0
lee2019,18,EA+SupCon+AdaBN,85.5
lee2019,18,EA+SupCon+CORAL,91.0
lee2019,19,Original,81.5
lee2019,19,EA,84.5
lee2019,19,EA+TENT,84.5
lee2019,19,EA+AdaBN,82.0
lee2019,19,EA+Snapshot+AdaBN,85.0
lee2019,19,EA+SupCon,85.0
lee2019,19,EA+SupCon+AdaBN,84.5
lee2019,19,EA+SupCon+CORAL,85.0
lee2019,20,Original,74.5
lee2019,20,EA,73.0
lee2019,20,EA+TENT,71.0
lee2019,20,EA+AdaBN,77.5
lee2019,20,EA+Snapshot+AdaBN,73.0
lee2019,20,EA+SupCon,75.5
lee2019,20,EA+SupCon+AdaBN,70.0
lee2019,20,EA+SupCon+CORAL,75.5
lee2019,21,Original,86.0
